Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
478,1,STEP,-813416296,-810813196,2603100,-1
479,1,STEP,-809929296,-808316996,1612300,-1
480,1,STEP,-808066296,-806851096,1215200,-1
481,1,STEP,-806593296,-805120896,1472400,-1
482,1,STEP,-804846596,-803552596,1294000,-1
483,1,STEP,-803296496,-801162796,2133700,-1
484,1,STEP,-800714896,-798856396,1858500,-1
485,1,STEP,-798543396,-796175796,2367600,-1
486,1,STEP,-795143396,-793196696,1946700,-1
487,1,STEP,-792761596,-790600096,2161500,-1
488,1,STEP,-790011496,-788500296,1511200,-1
489,1,STEP,-788238296,-786855796,1382500,-1
490,1,STEP,-786612796,-784952396,1660400,-1
491,1,STEP,-784681696,-783481696,1200000,-1
492,1,STEP,-783253496,-781059696,2193800,-1
493,1,STEP,-780609596,-779013996,1595600,-1
494,1,STEP,-778745896,-777087196,1658700,-1
495,1,STEP,-776729296,-775276896,1452400,-1
496,1,STEP,-775044096,-773798896,1245200,-1
497,1,STEP,-773585996,-772472896,1113100,-1
498,1,STEP,-772279396,-771132496,1146900,-1
499,1,STEP,-770898296,-769824596,1073700,-1
500,1,STEP,-769623896,-768613196,1010700,-1
501,1,STEP,-768445496,-767288196,1157300,-1
502,1,STEP,-767119696,-765635796,1483900,-1
503,1,STEP,-764451496,-762385196,2066300,-1
504,1,STEP,-761952696,-760193196,1759500,-1
505,1,STEP,-759901696,-758527396,1374300,-1
506,1,STEP,-758283796,-757127596,1156200,-1
507,1,STEP,-756932196,-755692296,1239900,-1
508,1,STEP,-755493296,-754492196,1001100,-1
509,1,STEP,-754310196,-753247996,1062200,-1
510,1,STEP,-753081196,-751864296,1216900,-1
511,1,STEP,-751680096,-750562096,1118000,-1
512,1,STEP,-750301696,-747677296,2624400,-1
513,1,STEP,-747146696,-744910596,2236100,-1
514,1,STEP,-744391896,-742944296,1447600,-1
515,1,STEP,-742733096,-741499496,1233600,-1
516,1,STEP,-741192096,-739838296,1353800,-1
